# universe	source_path	line_count	file_sha256	status	owner	artifact	note
client-go	config/client.go	254	1058a5f16ef09ab0b3b8a1efec3bf3abac9b7a315a1ff6845539b60175778e74	UNTRIAGED	-	-	-
client-go	config/config.go	229	5c2e95914310f9760a55c630842e444091e2e338078f5fe3ff727cf5e88556eb	UNTRIAGED	-	-	-
client-go	config/nextgen_off.go	20	37882c6db6443f831d7b6cc812e5c3a192757b5aae9b33684f8dc7c1f890a965	UNTRIAGED	-	-	-
client-go	config/nextgen_on.go	20	3fb781d3787d50fd735c116721ece4c16d171156367f5de1ae9f6b695e8d5d6b	UNTRIAGED	-	-	-
client-go	config/retry/backoff.go	482	cd48c343ff6b6c42c469b1f5f9c0d4deb5d9c3059ad143114ccda989dc03614d	UNTRIAGED	-	-	-
client-go	config/retry/config.go	218	7334efcfa5da819b05b8491ff7845341ac06d72a012d0d6a53391bee8774a61b	UNTRIAGED	-	-	-
client-go	config/ruv2.go	66	d3e72e1e484567f1562077cd5816567fde45bd00764de24acf8fd19db0315822	UNTRIAGED	-	-	-
client-go	config/security.go	106	fa5aed97334b8be350ad73dceaab0b351b20f5763b44b89dbe3ebd977a70eb65	UNTRIAGED	-	-	-
client-go	error/error.go	429	19f231823e4eed0a30b52fbf025f94ada35e318ad56e345005aa18eebbe21a54	UNTRIAGED	-	-	-
client-go	internal/apicodec/codec.go	138	e6c2af49ceef15ad8337433250fe362485af7c2e09678f9bf08a411b5aa22d52	UNTRIAGED	-	-	-
client-go	internal/apicodec/codec_v1.go	233	0d128ab9a3d055245faec0b940eab0c0558a6cd64c9a70ba962c741ff0d74fa3	UNTRIAGED	-	-	-
client-go	internal/apicodec/codec_v2.go	1184	7ff430b6409b19221ca27b2154704b1ecca37c40064434becb8eb8f2607b2fd1	UNTRIAGED	-	-	-
client-go	internal/apicodec/mem_codec.go	57	fd01c513ddfb80db1cbbdb018747013274bced0bb205735c67ebf771e2c7da29	UNTRIAGED	-	-	-
client-go	internal/client/client.go	923	d96fb5f128ce62716bc43d6493d7d8216b82b252e50a6c4f01e479d98d5582ad	PARTIAL	distsql-unary-active-cancel-runtime	rust/crates/tidb-txnkv/src/rpc/unary.rs	The sole raw unary worker races every dispatched command against the exact request-owned monotonic cancellation carrier and preserves timeout and remote-Canceled as distinct transport facts. Async SendRequest, batch, stream, forwarding, compression, TLS, metrics, resource control, and the broader command switch remain external.
client-go	internal/client/client_async.go	188	9df6fe7a0c68108bf61f08c242ac7c735cdcfed3eec986dc6dcccddab9f67389	UNTRIAGED	-	-	-
client-go	internal/client/client_batch.go	1497	1bd61047646f9d5d146e750642b0e0f8f3f9d4e89d765fb2c71be36d593debc5	UNTRIAGED	-	-	-
client-go	internal/client/client_collapse.go	166	343a880fde53e725eb6c609eafbf853d7d12c61c1915600ec649f5a1c3961139	UNTRIAGED	-	-	-
client-go	internal/client/client_interceptor.go	249	ea61891c217ce5ed2ac111b96d2bf12442ec3d71ae2228f00e01943dddbbb9ee	UNTRIAGED	-	-	-
client-go	internal/client/conn_batch.go	340	8b3a47a159cb34a82f8309c36058775dbb89d86fbf8ed986f77a821d78cb1458	UNTRIAGED	-	-	-
client-go	internal/client/conn_monitor.go	101	fe59a40c30a23eca1bf15402bc094f1476c2fe9cbb7205693598099750f08004	UNTRIAGED	-	-	-
client-go	internal/client/conn_pool.go	231	51f792832e9e3486c19e3095d7ff306ff4e10d2ad364f9ec9b772ff92440f8bd	PARTIAL	txnkv-tonic-failure-generation-runtime	rust/crates/tidb-txnkv/src/rpc/channel_pool.rs	A lazy address-keyed tonic Channel is reused until close, carries an address-local version, ignores stale versioned closes, recreates at the next generation, and cannot recreate after terminal Close. Multi-connection round robin, eager dial, keepalive/window configuration, idle recycling, batch clients, TLS, monitoring, and background health feedback remain open.
client-go	internal/client/legacy_codec.go	64	4d347d4a9ad0cb9e2451d30dc4bebb35543185874ac314dd19d9b55b9b08aa95	UNTRIAGED	-	-	-
client-go	internal/client/mockserver/mock_tikv_service.go	196	04a517a353b368c25f4ffa23f45fd2167358287e7b8bf276df3902d4cf3c2585	UNTRIAGED	-	-	-
client-go	internal/client/priority_queue.go	158	5b45c52f1940027a9f41ac8aca4d88079bdbe6413ff506b3704eeb2a28f42878	UNTRIAGED	-	-	-
client-go	internal/kvrpc/batch.go	82	a33469122ab16ca0d57189ce0be260e98a9684d8b6ad71a580ce952795179b0a	UNTRIAGED	-	-	-
client-go	internal/latch/latch.go	325	51dbf98a251de012c60b09a5496f7b857845234cf5800b387eacf7d0a2297493	UNTRIAGED	-	-	-
client-go	internal/latch/scheduler.go	141	1c1dc734899c3ac2af0373c64444d5c863ca00b3863101c37ce17aa78d850a8a	UNTRIAGED	-	-	-
client-go	internal/locate/accessmode.go	62	cf2db2d551d5437faee1b217395bb7ff64b105e61840d543901c5e1eb7c733a3	PARTIAL	txnkv-route-policy-seams	rust/crates/tidb-txnkv/src/region/replica_selector.rs	Leader, follower, mixed, prefer-leader, stale, and learner access modes feed the sole route decision without a duplicate mutable wrapper. TiFlash, flashback, and async access paths remain external.
client-go	internal/locate/metrics_collector.go	136	a0b1f4378a94a0da0dbb0b877fb5c5f5bb24349c5bed8a4aca96cc5413e2f5e5	PARTIAL	distsql-unary-forwarding-runtime	rust/crates/tidb-distsql/src/cop_paging/forwarding.rs	Route facts distinguish logical target, physical dispatch, locality, stale read, replica-read mode, forwarding, and request duration without duplicating cache authority. The original Prometheus collector registry and production aggregation remain external.
client-go	internal/locate/pd_codec.go	213	1c36e4e1807f07525458eb44a9eceb230097f695caa69c1a936b4fc9924e2110	PARTIAL	txnkv-region-topology-runtime	rust/crates/tidb-txnkv/src/pd_loader.rs	The pinned API-v1 PD boundary now carries exact peer topology and store labels into the canonical RegionCache. Keyspace-v2 scans, split RPCs, and broader codecs remain external.
client-go	internal/locate/region_cache.go	3467	bc404d12cab6601e6ebe3da7b2ff6e141c621fa1665374ae8ebf7a61351fd6c3	PARTIAL	txnkv-region-topology-runtime	rust/crates/tidb-txnkv/src/region/cache.rs	One RegionCache owns ordered peers, store generations, labels, preferred proxy identity, immutable route snapshots, and typed target/proxy feedback. TTL, buckets, background GC, batch scans, and production concurrency remain external.
client-go	internal/locate/region_request.go	2445	77708f8bfd033bb567f43d5d8dd931aa89550db66658770bed8e9367bce41f65	PARTIAL	distsql-unary-forwarding-runtime	rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	The synchronous Cop path dispatches to the physical proxy with the logical leader in exactly one forwarding metadata value, applies failure to the physical route, preserves cancellation precedence, caches successful proxies, and returns to direct routing after recovery. Async, batch, stream, TLS, and write uncertainty remain external.
