# Generated by cargo run -j 12 -p difftest --bin go_source_ledger -- --write.
# source_path	lines	target_crate	generated	porting_status	owner	evidence_artifact	note
br/cmd/br/abort.go	145	deferred-external	false	UNTRIAGED	-	-	-
br/cmd/br/backup.go	218	deferred-external	false	UNTRIAGED	-	-	-
br/cmd/br/cmd.go	361	deferred-external	false	UNTRIAGED	-	-	-
br/cmd/br/debug.go	501	deferred-external	false	UNTRIAGED	-	-	-
br/cmd/br/fips.go	19	deferred-external	false	UNTRIAGED	-	-	-
br/cmd/br/main.go	46	deferred-external	false	UNTRIAGED	-	-	-
br/cmd/br/operator.go	284	deferred-external	false	UNTRIAGED	-	-	-
br/cmd/br/restore.go	273	deferred-external	false	UNTRIAGED	-	-	-
br/cmd/br/stream.go	233	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/aws/ebs.go	747	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/backup/client.go	1291	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/backup/limit.go	48	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/backup/prepare_snap/env.go	202	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/backup/prepare_snap/errors.go	39	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/backup/prepare_snap/prepare.go	482	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/backup/prepare_snap/stream.go	221	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/backup/schema.go	387	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/backup/store.go	382	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checkpoint/backup.go	154	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checkpoint/checkpoint.go	810	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checkpoint/external_storage.go	226	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checkpoint/log_restore.go	268	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checkpoint/manager.go	431	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checkpoint/restore.go	121	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checkpoint/storage.go	348	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checkpoint/ticker.go	45	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/checksum/executor.go	425	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/common/consts.go	20	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/config/ebs.go	216	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/config/kv.go	74	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/conn/conn.go	440	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/conn/util/util.go	233	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/encryption/manager.go	93	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/encryption/master_key/common.go	61	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/encryption/master_key/file_backend.go	68	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/encryption/master_key/kms_backend.go	88	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/encryption/master_key/master_key.go	77	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/encryption/master_key/mem_backend.go	103	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/encryption/master_key/multi_master_key_backend.go	64	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/errors/errors.go	132	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/gc/manager.go	32	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/gc/manager_global.go	84	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/gc/manager_keyspace.go	115	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/gc/safepoint.go	119	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/glue/console_glue.go	400	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/glue/glue.go	101	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/glue/progressing.go	270	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/gluetidb/glue.go	339	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/gluetidb/infoschema_filter.go	71	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/gluetidb/mock/mock.go	183	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/gluetikv/glue.go	79	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/kms/aws.go	117	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/kms/common.go	65	deferred-external	false	UNTRIAGED	-	-	-
br/pkg/kms/gcp.go	104	deferred-external	false	UNTRIAGED	-	-	-
