source_path	source_start_line	source_end_line	delimiter	boundary	sql
tests/clusterintegrationtest/t/vector.test	2	2	;	lexical	create table t(vec vector(3));
tests/clusterintegrationtest/t/vector.test	3	3	;	lexical	alter table t set tiflash replica 1;
tests/clusterintegrationtest/t/vector.test	4	4	;	lexical	insert into t values ('[1,2,3]'), ('[1,2,5]'), ('[1,2,1]');
tests/clusterintegrationtest/t/vector.test	5	5	;	lexical	analyze table t;
tests/clusterintegrationtest/t/vector.test	6	6	;	lexical	select * from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	7	7	;	lexical	explain select * from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	8	8	;	lexical	select vec from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	9	9	;	lexical	explain select vec from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	10	10	;	lexical	select sleep(10);
tests/clusterintegrationtest/t/vector.test	11	11	;	lexical	set @@tidb_isolation_read_engines="tidb,tiflash";
tests/clusterintegrationtest/t/vector.test	12	12	;	lexical	select * from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	13	13	;	lexical	explain select * from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	14	14	;	lexical	select vec from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	15	15	;	lexical	explain select vec from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	16	16	;	lexical	alter table t compact;
tests/clusterintegrationtest/t/vector.test	17	17	;	lexical	select * from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	18	18	;	lexical	explain select * from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	19	19	;	lexical	select vec from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	20	20	;	lexical	explain select vec from t order by vec_l2_distance(vec, '[0,0,0]') limit 2;
tests/clusterintegrationtest/t/vector.test	21	21	;	lexical	select sleep(5);
tests/clusterintegrationtest/t/vector.test	22	22	;	lexical	set @@tidb_isolation_read_engines="tidb,tikv,tiflash";
tests/clusterintegrationtest/t/vector.test	23	23	;	lexical	drop table t;
tests/clusterintegrationtest/t/vector.test	26	26	;	lexical	create table t(vec vector(3), vector index ((vec_l2_distance(vec))));
tests/clusterintegrationtest/t/vector.test	27	27	;	lexical	insert into t values ('[1,2,3]'), ('[1,2,5]'), ('[1,2,1]');
