# Generated by cargo run -p difftest --bin integration_plan_inventory -- --write.
# This is an EXPLAIN obligation inventory, not plan-parity evidence.
source_path	source_start_line	source_end_line	statement_ordinal	plan_statement_kind	expected_result_artifacts	go_restore_hex
tests/clusterintegrationtest/t/vector.test	7	7	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c454354202a2046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	9	9	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c4543542060766563602046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	13	13	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c454354202a2046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	15	15	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c4543542060766563602046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	18	18	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c454354202a2046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	20	20	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c4543542060766563602046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	30	30	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c454354202a2046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	32	32	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c4543542060766563602046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	36	36	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c454354202a2046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
tests/clusterintegrationtest/t/vector.test	38	38	1	explain	tests/clusterintegrationtest/r/vector.result|tests/clusterintegrationtest/r/vector_index_ddl.result|tests/clusterintegrationtest/r/vector_long.result	4558504c41494e20464f524d4154203d2027726f77272053454c4543542060766563602046524f4d20607460204f52444552204259205645435f4c325f44495354414e43452860766563602c205f555446384d4234275b302c302c305d2729204c494d49542032
