source_path	source_start_line	source_end_line	command	payload
tests/clusterintegrationtest/t/vector.test	1	1	echo	 // small dataset, fixed vector, tidb_rowid, no index
tests/clusterintegrationtest/t/vector.test	25	25	echo	 // small dataset, fixed vector, tidb_rowid, indexed
tests/clusterintegrationtest/t/vector.test	48	48	echo	 // small dataset, fixed vector, int PK, no index
tests/clusterintegrationtest/t/vector.test	72	72	echo	 // small dataset, fixed vector, int PK, indexed
tests/clusterintegrationtest/t/vector.test	96	96	echo	 // small dataset, fixed vector, clustered char PK, indexed
tests/clusterintegrationtest/t/vector.test	120	120	echo	 // small dataset, fixed vector, non-clustered char PK, indexed
tests/clusterintegrationtest/t/vector.test	144	144	echo	 // large dataset, fixed vector, tidb_rowid, indexed
tests/clusterintegrationtest/t/vector.test	167	167	echo	 // large dataset, fixed vector, int PK, indexed
tests/clusterintegrationtest/t/vector.test	198	198	echo	 // large dataset, fixed vector, clustered char PK, indexed
tests/clusterintegrationtest/t/vector.test	227	227	echo	 // large dataset, fixed vector, non-clustered char PK, indexed
tests/clusterintegrationtest/t/vector.test	256	256	echo	 // Test cases from expression/integration_test
tests/clusterintegrationtest/t/vector.test	262	262	error	 1105
tests/clusterintegrationtest/t/vector.test	266	266	error	 1105
tests/clusterintegrationtest/t/vector.test	268	268	error	 1105
tests/clusterintegrationtest/t/vector.test	270	270	error	 1105
tests/clusterintegrationtest/t/vector.test	272	272	error	 1105
tests/clusterintegrationtest/t/vector.test	274	274	error	 1105
tests/clusterintegrationtest/t/vector.test	276	276	error	 1105
tests/clusterintegrationtest/t/vector.test	280	280	error	 1105
tests/clusterintegrationtest/t/vector_index_ddl.test	37	37	echo	 // add index on a table with replica
tests/integrationtest/t/bindinfo/bind.test	106	106	sorted_result	
tests/integrationtest/t/bindinfo/bind.test	108	108	sorted_result	
tests/integrationtest/t/bindinfo/bind.test	136	136	enable_warnings	;
tests/integrationtest/t/bindinfo/bind.test	138	138	disable_warnings	;
tests/integrationtest/t/bindinfo/bind.test	158	158	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	161	161	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	166	166	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	169	169	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	172	172	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	175	175	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	178	178	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	181	181	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	186	186	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	189	189	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	192	192	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	201	201	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	211	211	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	221	221	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	225	225	connect	 (conn1, localhost, test,,);
tests/integrationtest/t/bindinfo/bind.test	226	226	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	228	228	disconnect	 conn1;
tests/integrationtest/t/bindinfo/bind.test	237	237	connect	 (conn1, localhost, root,);
tests/integrationtest/t/bindinfo/bind.test	238	238	error	 1046
tests/integrationtest/t/bindinfo/bind.test	247	247	disconnect	 conn1;
tests/integrationtest/t/bindinfo/bind.test	268	268	connect	 (conn1, localhost, root,, bindinfo__bind);
tests/integrationtest/t/bindinfo/bind.test	271	271	disconnect	 conn1;
tests/integrationtest/t/bindinfo/bind.test	281	281	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	285	285	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/bind.test	289	289	replace_column	 5 <create_time> 6 <update_time>
tests/integrationtest/t/bindinfo/session_handle.test	5	5	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	7	7	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	9	9	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	11	11	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	13	13	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	19	19	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	21	21	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	23	23	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	25	25	error	 8006
tests/integrationtest/t/bindinfo/session_handle.test	27	27	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	7	7	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	9	9	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	11	11	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	13	13	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	15	15	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	17	17	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	19	19	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	21	21	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	23	23	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	25	25	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	27	27	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	29	29	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	31	31	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	33	33	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	42	42	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	44	44	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	46	46	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	48	48	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	50	50	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	52	52	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	54	54	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	56	56	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	58	58	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	60	60	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	62	62	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	64	64	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	66	66	error	 8006
tests/integrationtest/t/bindinfo/temptable.test	68	68	error	 8006
