go_source	rust_module	status
pkg/parser/admin_query_parser.go	rust/crates/tidb-parser/src/lib.rs	partial
pkg/parser/admin_stmt_parser.go	rust/crates/tidb-parser/src/admin.rs	partial
pkg/parser/arena.go	-	unassigned
pkg/parser/binding_parser.go	rust/crates/tidb-parser/src/binding.rs	partial
pkg/parser/binlog_parser.go	rust/crates/tidb-parser/src/lib.rs	partial
pkg/parser/builtin_func.go	rust/crates/tidb-parser/src/expr.rs	partial
pkg/parser/ddl_alter_handlers.go	rust/crates/tidb-parser/src/ddl.rs	partial
pkg/parser/ddl_alter_parser.go	rust/crates/tidb-parser/src/ddl.rs	partial
pkg/parser/ddl_drop_parser.go	rust/crates/tidb-parser/src/analyze.rs	partial
pkg/parser/ddl_fieldtype_parser.go	rust/crates/tidb-parser/src/ddl/field_type.rs	partial
pkg/parser/ddl_index_parser.go	rust/crates/tidb-parser/src/ddl/index.rs	partial
pkg/parser/ddl_load_data_parser.go	rust/crates/tidb-parser/src/load_data.rs	partial
pkg/parser/ddl_masking_parser.go	rust/crates/tidb-parser/src/masking.rs	ported
pkg/parser/ddl_misc_parser.go	rust/crates/tidb-parser/src/ddl.rs	partial
pkg/parser/ddl_partition_parser.go	rust/crates/tidb-parser/src/ddl_partition.rs	partial
pkg/parser/ddl_placement_parser.go	rust/crates/tidb-parser/src/placement.rs	ported
pkg/parser/ddl_resource_group_parser.go	rust/crates/tidb-parser/src/resource_group.rs	ported
pkg/parser/ddl_sequence_parser.go	rust/crates/tidb-parser/src/sequence.rs	ported
pkg/parser/ddl_show_ident_parser.go	rust/crates/tidb-parser/src/show.rs	partial
pkg/parser/ddl_show_parser.go	rust/crates/tidb-parser/src/show.rs	partial
pkg/parser/ddl_table_option_parser.go	rust/crates/tidb-parser/src/ddl/table_option.rs	partial
pkg/parser/ddl_table_parser.go	rust/crates/tidb-parser/src/ddl/column/options.rs	partial
pkg/parser/ddl_user_parser.go	rust/crates/tidb-parser/src/user.rs	partial
pkg/parser/digester.go	-	unassigned
pkg/parser/dml_parser.go	rust/crates/tidb-parser/src/dml.rs	partial
pkg/parser/expr_cast_parser.go	rust/crates/tidb-parser/src/cast.rs	partial
pkg/parser/expr_func_parser.go	rust/crates/tidb-parser/src/expr.rs	partial
pkg/parser/expr_parser.go	rust/crates/tidb-parser/src/expr.rs	partial
pkg/parser/expr_prefix_parser.go	rust/crates/tidb-parser/src/expr.rs	partial
pkg/parser/expr_subquery_parser.go	rust/crates/tidb-parser/src/expr.rs	partial
pkg/parser/grant_revoke_parser.go	rust/crates/tidb-parser/src/privilege.rs	partial
pkg/parser/hintparser.go	rust/crates/tidb-parser/src/select.rs	partial
pkg/parser/import_brie_parser.go	rust/crates/tidb-parser/src/dml.rs	partial
pkg/parser/join_parser.go	rust/crates/tidb-parser/src/select.rs	partial
pkg/parser/keywords.go	rust/crates/tidb-lexer/src/lib.rs	partial
pkg/parser/lexer.go	rust/crates/tidb-lexer/src/lib.rs	partial
pkg/parser/lexer_bridge.go	rust/crates/tidb-lexer/src/lib.rs	partial
pkg/parser/lexer_helpers.go	rust/crates/tidb-lexer/src/lib.rs	partial
pkg/parser/misc.go	rust/crates/tidb-lexer/src/lib.rs	partial
pkg/parser/misc_stmt_parser.go	rust/crates/tidb-parser/src/flush.rs	partial
pkg/parser/parser.go	rust/crates/tidb-parser/src/lib.rs	partial
pkg/parser/parser_api.go	rust/crates/tidb-parser/src/lib.rs	partial
pkg/parser/parser_helpers.go	rust/crates/tidb-parser/src/lib.rs	partial
pkg/parser/prec.go	rust/crates/tidb-parser/src/prec.rs	partial
pkg/parser/prepared_stmt_parser.go	rust/crates/tidb-parser/src/statement.rs	partial
pkg/parser/procedure_parser.go	-	unassigned
pkg/parser/reserved_words.go	rust/crates/tidb-lexer/src/reserved.rs	partial
pkg/parser/select_clauses_parser.go	rust/crates/tidb-parser/src/select.rs	partial
pkg/parser/select_parser.go	rust/crates/tidb-parser/src/select.rs	partial
pkg/parser/set_explain_parser.go	rust/crates/tidb-parser/src/set.rs	partial
pkg/parser/split_parser.go	rust/crates/tidb-parser/src/ddl.rs	partial
pkg/parser/stmt_parser.go	rust/crates/tidb-parser/src/statement.rs	partial
pkg/parser/tokens.go	rust/crates/tidb-lexer/src/token.rs	partial
pkg/parser/traffic_parser.go	rust/crates/tidb-parser/src/traffic.rs	ported
pkg/parser/view_parser.go	rust/crates/tidb-parser/src/ddl.rs	partial
