kind	status	rust_module	count
status	ported	-	5
status	partial	-	47
status	unassigned	-	3
module	partial	rust/crates/tidb-lexer/src/lib.rs	5
module	partial	rust/crates/tidb-lexer/src/reserved.rs	1
module	partial	rust/crates/tidb-lexer/src/token.rs	1
module	partial	rust/crates/tidb-parser/src/admin.rs	1
module	partial	rust/crates/tidb-parser/src/analyze.rs	1
module	partial	rust/crates/tidb-parser/src/binding.rs	1
module	partial	rust/crates/tidb-parser/src/cast.rs	1
module	partial	rust/crates/tidb-parser/src/ddl.rs	5
module	partial	rust/crates/tidb-parser/src/ddl/column/options.rs	1
module	partial	rust/crates/tidb-parser/src/ddl/field_type.rs	1
module	partial	rust/crates/tidb-parser/src/ddl/index.rs	1
module	partial	rust/crates/tidb-parser/src/ddl/table_option.rs	1
module	partial	rust/crates/tidb-parser/src/ddl_partition.rs	1
module	partial	rust/crates/tidb-parser/src/dml.rs	2
module	partial	rust/crates/tidb-parser/src/expr.rs	5
module	partial	rust/crates/tidb-parser/src/flush.rs	1
module	partial	rust/crates/tidb-parser/src/lib.rs	5
module	partial	rust/crates/tidb-parser/src/load_data.rs	1
module	partial	rust/crates/tidb-parser/src/prec.rs	1
module	partial	rust/crates/tidb-parser/src/privilege.rs	1
module	partial	rust/crates/tidb-parser/src/select.rs	4
module	partial	rust/crates/tidb-parser/src/set.rs	1
module	partial	rust/crates/tidb-parser/src/show.rs	2
module	partial	rust/crates/tidb-parser/src/statement.rs	2
module	partial	rust/crates/tidb-parser/src/user.rs	1
module	ported	rust/crates/tidb-parser/src/masking.rs	1
module	ported	rust/crates/tidb-parser/src/placement.rs	1
module	ported	rust/crates/tidb-parser/src/resource_group.rs	1
module	ported	rust/crates/tidb-parser/src/sequence.rs	1
module	ported	rust/crates/tidb-parser/src/traffic.rs	1
