datetime_micros 00000be1070105173b3b71c80800
datetime_seconds 000007e1070105173b3b
datetime_midnight 000004e1070105
datetime_zero 000000
timestamp_micros 00000be407060f0c223801000000
date_plain 000004e407060f
date_zero 000000
duration_zero 000000
duration_neg_1ns 00000c010000000000000000000000
duration_1d2h3m4s 0000080001000000020304
duration_2s 0000080000000000000002
duration_micros 00000c000000000001020355f80600
duration_negative 00000801000000000a141e
blob 00000a68656c6c6f20626c6f62
tiny_blob 00000474696e79
long_blob 0000046c6f6e67
bit 0000020102
enum 000005677265656e
set 000003612c63
json 00000d7b2261223a205b312c20325d7d
mixed_row 0000070000000000000007cf070c1f173b3a08000000000000011e047461696c
mixed_row_nulls 0028070000000000000008000000000000011e
