pkg/sessiontxn TestTxnContextForStaleReadInPrepare
pkg/executor TestContextCancelWhenReadFromCopIterator
pkg/executor TestIndexUsageTable
pkg/planner/core/casetest/instanceplancache TestInstancePlanCacheConcurrencySysbench
pkg/ddl/ingest TestAddGlobalIndexInIngestWithUpdate
pkg/ddl/tests/partition TestPartitionErrorCode
pkg/ddl/tests/partition TestMultiSchemaPartitionByGlobalIndex
pkg/executor TestTiKVClientReadTimeout
pkg/executor/staticrecordset TestFinishStmtError
pkg/executor/test/analyzetest TestKillAutoAnalyze
pkg/executor/test/analyzetest TestKillAutoAnalyzeIndex
pkg/executor/test/splittest TestClusterIndexShowTableRegion
pkg/executor/test/splittest TestShowTableRegion
pkg/expression/integration_test TestGetLock
pkg/infoschema/test/clustertablestest TestMDLViewIDConflict
pkg/infoschema/test/infoschemav2test TestGetAndResetRecentInfoSchemaTS
pkg/server/handler/optimizor TestPlanReplayerWithMultiForeignKey
pkg/server TestOptimizerDebugTrace
pkg/statistics/handle/cache/internal/lfu TestMemoryControlWithUpdate
pkg/statistics/handle/storage TestGCExtendedStats
pkg/statistics/handle/globalstats TestGlobalStatsAndSQLBinding
pkg/executor/test/aggregate TestRandomPanicConsume
pkg/ddl/tests/tiflash TestTiFlashFailureProgressAfterAvailable
pkg/executor TestGlobalTemporaryTableNoNetworkWithCreateAndThenCreateNormalTable
pkg/statistics/handle/storage TestLoadGlobalStats
pkg/statistics/handle/storage TestLoadPartitionStats
pkg/statistics/handle/storage TestLoadPartitionStatsErrPanic
pkg/statistics/handle/storage TestDumpPartitions
